rank,tier,metric,acceptance_arm,family,direction,probe_sampled,certification,raw_rows_five_runs,selected_defined_rows_five_runs,union_row_keys,aligned_row_keys,row_key_coverage,aligned_elements,early_elements,late_elements,vector_length_mismatch_keys,typical_absolute_spread,worst_absolute_spread,typical_relative_spread,worst_relative_spread,early_typical_relative_spread,late_typical_relative_spread,zero_median_fraction,infinite_relative_fraction,utility_band,flags
209,sparse,sketch/probe_grad_sq_norm,none,sparse:sketch/probe_grad_sq_norm,none,True,not_applicable,16950,16950,3390,3390,1.0,3390,1469,1921,0,0.0010146484710276127,1.235943078994751,0.5630219892367956,374.29662819697785,0.7451346021947873,0.44132031704312086,0.01799410029498525,0.0,noisy,probe
210,sparse,curvature/vhv_gradient,shadow_fp32,sparse:curvature/vhv_gradient [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,25,7,18,0,3.4992194323111097,9.881665367631694,0.5641617436234381,2.734054991843424,0.28248573351837974,0.5871712368608478,0.0,0.0,noisy,"probe,pass-only"
211,sparse,curvature/sweep_c_fd_gradient,shadow_fp32,sparse:curvature/sweep_c_fd_gradient [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,175,49,126,0,3.5047528743743896,9.934107303619385,0.5699051766806669,2.8103447861177173,0.28001609024947444,0.5853002286828285,0.0,0.0,noisy,"probe,pass-only"
212,sparse,curvature/vhv_gradient,native,sparse:curvature/vhv_gradient [native],gradient,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,3.1511721180377474,15.50769682085319,0.5746182079845505,3.55825218521846,0.5787077849658457,0.57346937798952,0.0,0.0,noisy,"probe,uncertified"
213,sparse,curvature/c_fd_gradient,shadow_fp32,sparse:curvature/c_fd_gradient [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,25,7,18,0,3.51065573444202,9.891982968095858,0.5755044402540965,2.741328833425886,0.2808990682931925,0.5829045743840151,0.0,0.0,noisy,"probe,pass-only"
214,periodic,overhead/attention,none,periodic:overhead/attention,none,False,not_applicable,125,125,25,25,1.0,25,4,21,0,0.009179606102406979,0.01858290284872055,0.5782560086912165,0.7304735816066301,0.5731961387615239,0.5960279523746937,0.0,0.0,noisy,-
215,sparse,curvature/eta_star,shadow_fp32,sparse:curvature/eta_star [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,25,7,18,0,0.1308449680696927,1.2316939456240346,0.5922600550199206,1.8957039135893243,0.3154661111284783,0.6985464234407771,0.0,0.0,noisy,"probe,pass-only"
216,sparse,curvature/eta_star,native,sparse:curvature/eta_star [native],gradient,True,uncertified_native_raw,150,129,26,25,0.9615384615384616,25,7,18,0,0.12093948352731898,1.2539107766825928,0.604721647517997,1.962050332023483,0.3159886413448439,0.679827517520111,0.0,0.0,noisy,"probe,uncertified"
217,sparse,curvature/curv_floor_gradient,shadow_fp32,sparse:curvature/curv_floor_gradient [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,25,7,18,0,0.010754703544728336,0.03720570118083544,0.611034364897185,3.595714244983437,0.26364869601882873,0.6156950774537556,0.0,0.0,noisy,"probe,pass-only"
218,periodic,attn/per_head_norm_entropy,none,periodic:attn/per_head_norm_entropy,none,True,not_applicable,375,375,75,75,1.0,450,72,378,0,0.3095490485429764,0.6003806591033936,0.6128242530216961,1.7119153197752184,0.23068818473144748,0.6902423481116171,0.0,0.0,noisy,probe
219,periodic,attn/per_head_norm_entropy/b1,none,periodic:attn/per_head_norm_entropy/b1,none,True,not_applicable,375,375,75,75,1.0,450,72,378,0,0.32106421887874603,0.5982785373926163,0.6172575991549978,1.6701677584275778,0.2570175820868045,0.6880257388999007,0.0,0.0,noisy,probe
220,periodic,probe/x0_contribution_ratio,none,periodic:probe/x0_contribution_ratio,none,True,not_applicable,3000,3000,600,600,1.0,600,96,504,0,0.040829678128493654,0.3971456320593692,0.6179712752519064,9.319442046098414,0.3702701629608323,0.6633731957827662,0.0,0.0,noisy,probe
