metric,p,n,median,lo,hi,sd,sd_rel,range_rel
curvature/gg,0.050397,5,2.857779876085521,1.929405198333307,3.314131513362516,0.507851560136827,0.1777084247763907,0.4845461774774463
curvature/gg,0.100397,5,4.3739187886806885,3.983565933698053,4.883630331937288,0.32996643500026746,0.07543954310587365,0.20577986051513367
curvature/gg,0.150397,5,4.341094640251897,3.976717018476781,4.671941928421717,0.27045583819607666,0.0623012996971619,0.16014967826285278
curvature/gg,0.159127,5,4.017367080054947,3.709201977863918,4.771140738270203,0.40917417814310525,0.10185132948754806,0.26433699964300017
curvature/gg,0.200397,5,3.6363374429385606,3.288203669862995,3.972133553597536,0.2542748599488447,0.06992609017697836,0.18808207281826148
curvature/gg,0.250397,5,3.72410397640924,3.6626979086259226,3.97528080053282,0.13452166114062816,0.03612188649746917,0.0839350603224264
curvature/gg,0.300397,5,4.20138182415271,3.9970686755098974,4.429849236941328,0.16390005613237052,0.03901098804925309,0.10300910023066255
curvature/gg,0.350397,5,4.7372024329172,4.28850585366804,6.134319775018037,0.7525522067960174,0.15886004819358984,0.38964218808216156
curvature/gg,0.400397,5,5.614338127122752,4.737616342335711,7.8614423691433855,1.2747513170622715,0.22705282229154922,0.5564014770889083
curvature/gg,0.450397,5,6.33763160282011,5.911262477839685,8.47794040278224,1.039940602587813,0.16408978428551477,0.4049900792277731
curvature/gg,0.500397,5,8.485900350891932,5.986436589884637,10.823801109121586,1.945009238250007,0.22920481714654733,0.5700472924748057
curvature/gg,0.55,5,8.84948483270934,7.649081122703186,10.157723949801998,1.0462869765380678,0.11823139949014848,0.2834789679311503
curvature/gg,0.6,5,9.694941458398484,8.047744796744231,11.79125142330376,1.4395969389069954,0.14848949269929926,0.3861298846025134
curvature/gg,0.65,5,9.994963900679046,9.6050974105271,11.201211117355168,0.6514058064107237,0.0651734026139372,0.15969179305586395
curvature/gg,0.7,5,11.317276405058374,8.920033049698036,11.643181246517592,1.1148669872941621,0.09851018455251838,0.24061868769083142
curvature/gg,0.75,5,11.452062009506347,10.006140146945532,12.829441631012354,1.2614831198600374,0.11015336092424938,0.24653215130368686
curvature/gg,0.8,5,11.397443312523368,10.16145000436655,13.067645731770476,1.2468623442734756,0.1093984247242045,0.25498663583705955
curvature/gg,0.85,5,11.528236155656218,10.255665663531577,12.453614419349552,0.8730035241486277,0.07572741504955179,0.19065785313042646
curvature/gg,0.9,5,11.83740313111904,10.102899911711592,12.783177802550709,0.9980097799694972,0.08430985824465634,0.22642448357554065
curvature/gg,0.95,5,12.073257870973084,10.64466854641318,12.765756231161262,0.880625863338559,0.07294020162161764,0.17568478263416115
curvature/gg,1.0,5,11.92694259680101,10.470963731571633,12.753079351992202,0.8830114959927257,0.0740350252234435,0.19134120935843757
curvature/Hg_norm,0.006746,5,8.591358734843173,8.205618901101321,8.748295911764824,0.2213272369176979,0.0257616104446997,0.0631654465157669
curvature/Hg_norm,0.013095,5,4.132109718651568,3.999193770116463,4.40215451209354,0.1581591584431818,0.03827564348770339,0.09751937131731718
curvature/Hg_norm,0.01627,5,4.327025746154284,3.6090955240615066,4.654150767698471,0.46527162631777175,0.10752689112869034,0.24151814778679656
curvature/Hg_norm,0.025794,5,5.31874834918394,3.960899588666309,6.405089163055854,0.9639785663361048,0.18124161984163226,0.4595422482743632
curvature/Hg_norm,0.050397,5,5.699538472379278,2.227808062976731,15.935519795390151,5.188620384056532,0.9103579893707668,2.4050564442792717
curvature/Hg_norm,0.100397,5,11.09273332515432,7.809685508047123,13.251205729942278,2.1026364845431162,0.18955080077288927,0.49054818703301456
curvature/Hg_norm,0.150397,5,10.52267758674791,9.43754869507714,11.245244810064104,0.7244394483910755,0.06884554263103365,0.1717905067493037
curvature/Hg_norm,0.159127,5,8.489398795339026,7.281943638897076,13.139405957271736,2.368386578459864,0.27898166119374557,0.6899737495652354
