run,kind,s0,s1,gap,progress,cos
d12-s10,batch_grad,101,2222,2121,0.04007936507936508,0.012153147938879288
d12-s10,batch_grad,101,2323,2222,0.04007936507936508,0.02420836672771675
d12-s10,batch_grad,101,2424,2323,0.04007936507936508,0.018270762454863997
d12-s10,batch_grad,202,303,101,0.08015873015873017,-0.2273207090584085
d12-s10,batch_grad,202,404,202,0.08015873015873017,0.07099255696141783
d12-s10,batch_grad,202,505,303,0.08015873015873017,-0.12853288442313723
d12-s10,batch_grad,202,606,404,0.08015873015873017,0.08076876018576506
d12-s10,batch_grad,202,707,505,0.08015873015873017,-0.05794588754588896
d12-s10,batch_grad,202,808,606,0.08015873015873017,-0.028871277466625385
d12-s10,batch_grad,202,909,707,0.08015873015873017,0.06356486699175111
d12-s10,batch_grad,202,1010,808,0.08015873015873017,-0.07070565797027281
d12-s10,batch_grad,202,1111,909,0.08015873015873017,0.02998456244887496
d12-s10,batch_grad,202,1212,1010,0.08015873015873017,-0.12608221275448425
d12-s10,batch_grad,202,1313,1111,0.08015873015873017,-0.10153098443488637
d12-s10,batch_grad,202,1414,1212,0.08015873015873017,0.09612358471971268
d12-s10,batch_grad,202,1515,1313,0.08015873015873017,-0.054407708335828704
d12-s10,batch_grad,202,1616,1414,0.08015873015873017,0.09592520254041981
d12-s10,batch_grad,202,1717,1515,0.08015873015873017,0.06236114685978902
d12-s10,batch_grad,202,1818,1616,0.08015873015873017,-0.027493663906467007
d12-s10,batch_grad,202,1919,1717,0.08015873015873017,0.05109603569551883
d12-s10,batch_grad,202,2020,1818,0.08015873015873017,0.016148575414521058
d12-s10,batch_grad,202,2121,1919,0.08015873015873017,-0.05234988357305513
d12-s10,batch_grad,202,2222,2020,0.08015873015873017,-0.03218343182889693
d12-s10,batch_grad,202,2323,2121,0.08015873015873017,0.01941659763123773
d12-s10,batch_grad,202,2424,2222,0.08015873015873017,-0.025660405122750442
d12-s10,batch_grad,303,404,101,0.12023809523809524,0.2331108706351343
d12-s10,batch_grad,303,505,202,0.12023809523809524,0.15916584318446148
d12-s10,batch_grad,303,606,303,0.12023809523809524,-0.16353671790459146
d12-s10,batch_grad,303,707,404,0.12023809523809524,0.02013819942626861
d12-s10,batch_grad,303,808,505,0.12023809523809524,0.24731975790450858
d12-s10,batch_grad,303,909,606,0.12023809523809524,-0.18556277079252237
d12-s10,batch_grad,303,1010,707,0.12023809523809524,0.04819285271056788
d12-s10,batch_grad,303,1111,808,0.12023809523809524,0.11536635243504668
d12-s10,batch_grad,303,1212,909,0.12023809523809524,0.20549753673323992
