seg,tier,metric,n,ndef,nsteps,veclen
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_cos_valid_update,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_e_fd_gradient,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_e_fd_random,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_e_fd_update,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_eps_gradient,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_eps_random,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_eps_update,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_floor_gradient,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_floor_random,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_floor_update,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_snr_gradient,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_snr_random,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_snr_update,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/gHg,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/gg,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/native_verdict_code,30,30,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/shadow_verdict_code,30,30,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/sweep_c_fd_gradient,60,60,30,5
