tier,metric,acceptance_arm,channels,rel_median,rel_worst_channel,rel_worst_point,complete_frac,noise_vs_swing,rel_early,rel_late
sparse,curvature/e_lin_gradient,native,1,0.08125918491065959,0.08125918491065959,0.8581061616318909,1.0,0.10014133939592795,0.15635688094220607,0.07561402758783925
sparse,curvature/curv_snr_gradient,shadow_fp32,1,0.08370564380408765,0.08370564380408765,1.251135842982478,1.0,0.12310566446607722,0.09777699655778935,0.07156064362981364
periodic,muon/cos_raw_momentum,-1,78,0.08690580689469349,0.40099412305171767,5.717557032211616,1.0,0.237896189020875,0.10423630874748539,0.08150803129693732
periodic,noise/mean_grad_norm,-1,113,0.10228363906369459,0.9846821487054597,6.3341120585430675,1.0,0.25175550126263463,0.15764959870724893,0.10228363906369459
sparse,curvature/fd_snr_update,shadow_fp32,1,0.10923259745046505,0.10923259745046505,0.43730332581422976,1.0,0.14516160510632797,0.10950762925831026,0.10923259745046505
sparse,overhead/shadow_acceptance,-1,1,0.11065850961630029,0.11065850961630029,0.22918460042204006,1.0,1.6967674062108056,0.10827473127303733,0.1196444806621006
periodic,overhead/grads_ready/periodic_scan,-1,1,0.11189169448617897,0.11189169448617897,0.23959633472745273,1.0,0.39433682238706613,0.19315939510824418,0.1109804165902296
sparse,curvature/vhv_update,shadow_fp32,1,0.11879612265236314,0.11879612265236314,0.3754895788194083,1.0,0.06479081819984035,0.1346959863616039,0.11141044997497532
sparse,curvature/vhv_update,native,1,0.11909863126503631,0.11909863126503631,0.38000542026499456,1.0,0.06605159080198794,0.13510348098095976,0.11158748519539673
sparse,curvature/curv_eps_gradient,shadow_fp32,1,0.11971056020122184,0.11971056020122184,2.9452307674851514,1.0,0.010107601313180435,0.09743306331352776,0.1327005066652317
sparse,update/residual_p1,shadow_fp32,1,0.121112063136398,0.121112063136398,0.5595519514058789,1.0,0.039161456958273944,0.12883036389660973,0.121112063136398
sparse,curvature/fd_snr_gradient,native,1,0.12298373570115048,0.12298373570115048,1.0759719882872294,1.0,0.08309226703276773,0.05560295375134722,0.14233633791050337
sparse,calib/grad_norm,-1,1,0.12902243168404837,0.12902243168404837,0.31406783503688,1.0,0.14267842705828296,0.12489148620417628,0.14034774536926317
sparse,curvature/dhd,shadow_fp32,1,0.1311985145694544,0.1311985145694544,0.503293305765322,1.0,0.044495135842883685,0.14812015490362593,0.12000371848905443
sparse,curvature/dhd,native,1,0.13144619956657175,0.13144619956657175,0.5100661197280385,1.0,0.044689671713475196,0.15070197592778106,0.11904224682584795
sparse,overhead/grads_ready/calibration,-1,1,0.1340618037562863,0.1340618037562863,0.2318522562786441,1.0,0.6359164327211756,0.14477923528530126,0.12246907343447572
periodic,noise/s2,-1,1,0.1354535875825667,0.1354535875825667,0.19174018281488214,1.0,0.17602759750426553,0.0880409577279862,0.1406703992387112
periodic,noise/row_trace,-1,1,0.1354535875825667,0.1354535875825667,0.19174018281488214,1.0,0.17602759750426553,0.0880409577279862,0.1406703992387112
sparse,overhead/update_effectiveness,-1,1,0.13841091059099678,0.13841091059099678,0.23893013525624235,1.0,1.5397799030023518,0.12469115102662814,0.14532195337721432
sparse,update/residual_p1,native,1,0.14262172156933448,0.14262172156933448,1.5452912976447228,1.0,0.040639835876828796,0.10817544581420029,0.15098794326354864
sparse,overhead/lineage_checkpoint,-1,1,0.15163727219455217,0.15163727219455217,1.1529805475020296,1.0,,,0.15163727219455217
sparse,overhead/probe_grad_sketch,-1,1,0.15742846816380635,0.15742846816380635,0.2269863120994999,1.0,1.7160315678243139,0.14913761644814943,0.16759136269531968
periodic,grad/rms,-1,113,0.15986968008888372,0.8266995583698805,8.521033672522654,1.0,0.17531243643742936,0.22725277297280294,0.1442777446187522
periodic,grad/norm,-1,113,0.15986968008888375,0.8266995583698805,8.521033672522654,1.0,0.17531243643742928,0.2272527729728029,0.14427774461875223
periodic,muon/factored_scale_dispersion,-1,78,0.17212552935245287,5.4070169668494215,147.69624703015535,1.0,0.1736193927546314,0.18870071480191458,0.16179341524649943
sparse,curvature/Hg_norm,shadow_fp32,1,0.17343958768186496,0.17343958768186496,0.9103579893707668,1.0,0.07606742289109415,0.07779707081357401,0.2289198801424161
sparse,curvature/Hg_norm,native,1,0.17405040643196434,0.17405040643196434,0.9086230545703001,1.0,0.07773706809518495,0.07969186360184544,0.23003313321719887
sparse,sketch/probe_grad_sq_norm,-1,113,0.18157761249143695,2.501317341953198,167.10035664603205,1.0,0.09058153486247095,0.27366468287435347,0.16959801658744797
periodic,probe/logit_saturation_fraction,-1,2,0.19681206475637358,0.19721841010994956,0.887693640846886,1.0,0.01958807118008482,0.17140142900830352,0.20207595513591758
sparse,curvature/vhv_random,shadow_fp32,1,0.20014451841869046,0.20014451841869046,2.2804936064419397,1.0,0.1268541058019112,0.15354995249297915,0.20533177614111753
sparse,curvature/vhv_random,native,1,0.20209371453726804,0.20209371453726804,2.1586752651754493,1.0,0.12460310327306506,0.14955550563927444,0.2074293438135072
sparse,curvature/curv_floor_gradient,shadow_fp32,1,0.2194966144542172,0.2194966144542172,496.4532766279104,1.0,0.10954907915027413,0.15965672769455358,0.23569719162568042
sparse,overhead/theta_snapshot,-1,1,0.22258923241760487,0.22258923241760487,0.33492125649315696,1.0,2.6212122081101414,0.19101958766650062,0.22872367674176253
sparse,curvature/vhv_gradient,shadow_fp32,1,0.23204731333192363,0.23204731333192363,1.4178574217021416,1.0,0.10475169846450964,0.2309758782541285,0.23204731333192363
sparse,curvature/vhv_gradient,native,1,0.23253293576083206,0.23253293576083206,1.5482617627946569,1.0,0.10603045369383524,0.2312804980543061,0.23253293576083206
sparse,curvature/c_fd_gradient,shadow_fp32,1,0.2329179900928882,0.2329179900928882,27.304324082237745,1.0,0.10522541165941368,0.23023544580723948,0.2329179900928882
